Using cuda device
Wrapping the env in a DummyVecEnv.
Total Reward: -0.378 | Lat Penalty: -0.378 | Steer Penalty: -0.000 | Action: -0.68
Total Reward: -0.378 | Lat Penalty: -0.378 | Steer Penalty: -0.000 | Action: 1.00
Total Reward: -0.378 | Lat Penalty: -0.378 | Steer Penalty: -0.000 | Action: -0.68
Total Reward: -0.378 | Lat Penalty: -0.378 | Steer Penalty: -0.000 | Action: 1.00
Total Reward: -0.378 | Lat Penalty: -0.378 | Steer Penalty: -0.000 | Action: 1.00
Total Reward: -0.378 | Lat Penalty: -0.378 | Steer Penalty: -0.000 | Action: 1.00
Total Reward: -0.378 | Lat Penalty: -0.378 | Steer Penalty: -0.000 | Action: 0.74
Total Reward: -0.378 | Lat Penalty: -0.378 | Steer Penalty: -0.000 | Action: 0.29
Total Reward: -0.378 | Lat Penalty: -0.378 | Steer Penalty: -0.000 | Action: -0.91
Total Reward: -0.378 | Lat Penalty: -0.378 | Steer Penalty: -0.000 | Action: 1.00
Total Reward: -0.378 | Lat Penalty: -0.378 | Steer Penalty: -0.000 | Action: 0.19
Total Reward: -0.378 | Lat Penalty: -0.378 | Steer Penalty: -0.000 | Action: 1.00
Total Reward: -0.378 | Lat Penalty: -0.378 | Steer Penalty: -0.000 | Action: -1.00
Total Reward: -0.378 | Lat Penalty: -0.378 | Steer Penalty: -0.000 | Action: -1.00
Total Reward: -0.378 | Lat Penalty: -0.378 | Steer Penalty: -0.000 | Action: -0.64
Total Reward: -0.378 | Lat Penalty: -0.378 | Steer Penalty: -0.000 | Action: 1.00
Total Reward: -0.378 | Lat Penalty: -0.378 | Steer Penalty: -0.000 | Action: 1.00
Total Reward: -0.378 | Lat Penalty: -0.378 | Steer Penalty: -0.000 | Action: 1.00
Total Reward: -0.378 | Lat Penalty: -0.378 | Steer Penalty: -0.000 | Action: 0.39
Total Reward: -0.378 | Lat Penalty: -0.378 | Steer Penalty: -0.000 | Action: -0.37
Total Reward: -0.378 | Lat Penalty: -0.378 | Steer Penalty: -0.000 | Action: -1.00
Total Reward: -0.378 | Lat Penalty: -0.378 | Steer Penalty: -0.000 | Action: 0.40
Total Reward: -0.378 | Lat Penalty: -0.378 | Steer Penalty: -0.000 | Action: 0.64
Total Reward: -0.378 | Lat Penalty: -0.378 | Steer Penalty: -0.000 | Action: -0.51
Total Reward: -0.378 | Lat Penalty: -0.378 | Steer Penalty: -0.000 | Action: -0.59
Total Reward: -0.359 | Lat Penalty: -0.378 | Steer Penalty: -0.000 | Action: 0.86
Total Reward: -0.326 | Lat Penalty: -0.378 | Steer Penalty: -0.000 | Action: -0.55
Total Reward: -0.321 | Lat Penalty: -0.378 | Steer Penalty: -0.000 | Action: 0.79
Total Reward: -0.310 | Lat Penalty: -0.378 | Steer Penalty: -0.000 | Action: 1.00
Total Reward: -0.310 | Lat Penalty: -0.376 | Steer Penalty: -0.000 | Action: 0.33
Total Reward: -0.305 | Lat Penalty: -0.375 | Steer Penalty: -0.001 | Action: -1.00
Total Reward: -0.302 | Lat Penalty: -0.375 | Steer Penalty: -0.000 | Action: -1.00
Total Reward: -0.298 | Lat Penalty: -0.375 | Steer Penalty: -0.000 | Action: -0.05
Total Reward: -0.300 | Lat Penalty: -0.375 | Steer Penalty: -0.000 | Action: 1.00
Total Reward: -0.292 | Lat Penalty: -0.373 | Steer Penalty: -0.001 | Action: 0.87
Total Reward: -0.298 | Lat Penalty: -0.370 | Steer Penalty: -0.001 | Action: 0.53
Total Reward: -0.289 | Lat Penalty: -0.367 | Steer Penalty: -0.002 | Action: -0.04
Total Reward: -0.292 | Lat Penalty: -0.366 | Steer Penalty: -0.002 | Action: -1.00
Total Reward: -0.285 | Lat Penalty: -0.365 | Steer Penalty: -0.002 | Action: 1.00
Total Reward: -0.286 | Lat Penalty: -0.364 | Steer Penalty: -0.002 | Action: -0.53
Total Reward: -0.281 | Lat Penalty: -0.364 | Steer Penalty: -0.002 | Action: -1.00
Total Reward: -0.282 | Lat Penalty: -0.366 | Steer Penalty: -0.001 | Action: -0.76
Total Reward: -0.281 | Lat Penalty: -0.370 | Steer Penalty: -0.001 | Action: 1.00
Total Reward: -0.286 | Lat Penalty: -0.373 | Steer Penalty: -0.000 | Action: 0.54
Total Reward: -0.282 | Lat Penalty: -0.374 | Steer Penalty: -0.001 | Action: 0.38
Total Reward: -0.288 | Lat Penalty: -0.375 | Steer Penalty: -0.001 | Action: -0.02
